batch,status,approval_state,recovered_abs_path,destination_path,source_exists,destination_exists,apply_result,reason
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/ANALYSIS_CORRECTIONS.md,ANALYSIS_CORRECTIONS.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/ARCHITECTURE_REVIEW_2025-12-30.md,ARCHITECTURE_REVIEW_2025-12-30.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/BUILD_VARIANTS.md,BUILD_VARIANTS.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/CLAUDE.md,CLAUDE.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/CMakeLists.txt,CMakeLists.txt,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/COPILOT_INSTRUCTIONS.md,COPILOT_INSTRUCTIONS.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/DESIGN_Integration_Architecture.md,DESIGN_Integration_Architecture.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/FINAL_VERIFICATION.md,FINAL_VERIFICATION.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/IMPLEMENTATION_ALTERNATIVES.md,IMPLEMENTATION_ALTERNATIVES.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/KMIDI_CONSOLIDATION_SUMMARY.md,KMIDI_CONSOLIDATION_SUMMARY.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/KMIDI_README.md,KMIDI_README.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/KMIDI_STRUCTURE_PLAN.md,KMIDI_STRUCTURE_PLAN.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Logger.py,Logger.py,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/MERGER_INFRASTRUCTURE_COMPLETE.md,MERGER_INFRASTRUCTURE_COMPLETE.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/OPTIMAL_WORKFLOW_SUMMARY.md,OPTIMAL_WORKFLOW_SUMMARY.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Ambient Atmospheric Production Guide.md,Production_Workflows/Ambient Atmospheric Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Bass Programming Guide.md,Production_Workflows/Bass Programming Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Compression Deep Dive Guide.md,Production_Workflows/Compression Deep Dive Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Country Production Guide.md,Production_Workflows/Country Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Drum Programming Guide.md,Production_Workflows/Drum Programming Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Dynamics and Arrangement Guide.md,Production_Workflows/Dynamics and Arrangement Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/EQ Deep Dive Guide.md,Production_Workflows/EQ Deep Dive Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Electronic EDM Production Guide.md,Production_Workflows/Electronic EDM Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Folk and Acoustic Production Guide.md,Production_Workflows/Folk and Acoustic Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Groove and Rhythm Guide.md,Production_Workflows/Groove and Rhythm Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Guitar Programming Guide.md,Production_Workflows/Guitar Programming Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Guitar Recording Workflow.md,Production_Workflows/Guitar Recording Workflow.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Hip-Hop Production Guide.md,Production_Workflows/Hip-Hop Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Humanization Cheat Sheet.md,Production_Workflows/Humanization Cheat Sheet.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Humanizing Your Music.md,Production_Workflows/Humanizing Your Music.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Indie Alternative Production Guide.md,Production_Workflows/Indie Alternative Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Jazz Production Guide.md,Production_Workflows/Jazz Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Live Performance Guide.md,Production_Workflows/Live Performance Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Lo-Fi Production Guide.md,Production_Workflows/Lo-Fi Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Mastering Checklist.md,Production_Workflows/Mastering Checklist.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Metal Production Guide.md,Production_Workflows/Metal Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Mixing Workflow Checklist.md,Production_Workflows/Mixing Workflow Checklist.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Piano and Keys Humanization Guide.md,Production_Workflows/Piano and Keys Humanization Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Pop Production Guide.md,Production_Workflows/Pop Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/R&B and Soul Production Guide.md,Production_Workflows/R&B and Soul Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Reference Track Analysis Guide.md,Production_Workflows/Reference Track Analysis Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Reverb and Delay Guide.md,Production_Workflows/Reverb and Delay Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Rock Production Guide.md,Production_Workflows/Rock Production Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Sampling Guide.md,Production_Workflows/Sampling Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Sound Design From Scratch.md,Production_Workflows/Sound Design From Scratch.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Strings and Orchestral Guide.md,Production_Workflows/Strings and Orchestral Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Synth Humanization Guide.md,Production_Workflows/Synth Humanization Guide.md,true,true,verified_noop,source_equals_destination
batch_a_exact,exact_match,auto_approved,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Vocal Production Guide.md,Production_Workflows/Vocal Production Guide.md,true,true,verified_noop,source_equals_destination
