status,recovered_abs_path,destination_path,action,confidence,reviewer_note
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/ANALYSIS_CORRECTIONS.md,ANALYSIS_CORRECTIONS.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/ARCHITECTURE_REVIEW_2025-12-30.md,ARCHITECTURE_REVIEW_2025-12-30.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/BUILD_VARIANTS.md,BUILD_VARIANTS.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/CLAUDE.md,CLAUDE.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/CMakeLists.txt,CMakeLists.txt,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/COPILOT_INSTRUCTIONS.md,COPILOT_INSTRUCTIONS.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/DESIGN_Integration_Architecture.md,DESIGN_Integration_Architecture.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/FINAL_VERIFICATION.md,FINAL_VERIFICATION.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/IMPLEMENTATION_ALTERNATIVES.md,IMPLEMENTATION_ALTERNATIVES.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/KMIDI_CONSOLIDATION_SUMMARY.md,KMIDI_CONSOLIDATION_SUMMARY.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/KMIDI_README.md,KMIDI_README.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/KMIDI_STRUCTURE_PLAN.md,KMIDI_STRUCTURE_PLAN.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Logger.py,Logger.py,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/MERGER_INFRASTRUCTURE_COMPLETE.md,MERGER_INFRASTRUCTURE_COMPLETE.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/OPTIMAL_WORKFLOW_SUMMARY.md,OPTIMAL_WORKFLOW_SUMMARY.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Ambient Atmospheric Production Guide.md,Production_Workflows/Ambient Atmospheric Production Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Bass Programming Guide.md,Production_Workflows/Bass Programming Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Compression Deep Dive Guide.md,Production_Workflows/Compression Deep Dive Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Country Production Guide.md,Production_Workflows/Country Production Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Drum Programming Guide.md,Production_Workflows/Drum Programming Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Dynamics and Arrangement Guide.md,Production_Workflows/Dynamics and Arrangement Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/EQ Deep Dive Guide.md,Production_Workflows/EQ Deep Dive Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Electronic EDM Production Guide.md,Production_Workflows/Electronic EDM Production Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Folk and Acoustic Production Guide.md,Production_Workflows/Folk and Acoustic Production Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Groove and Rhythm Guide.md,Production_Workflows/Groove and Rhythm Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Guitar Programming Guide.md,Production_Workflows/Guitar Programming Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Guitar Recording Workflow.md,Production_Workflows/Guitar Recording Workflow.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Hip-Hop Production Guide.md,Production_Workflows/Hip-Hop Production Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Humanization Cheat Sheet.md,Production_Workflows/Humanization Cheat Sheet.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Humanizing Your Music.md,Production_Workflows/Humanizing Your Music.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Indie Alternative Production Guide.md,Production_Workflows/Indie Alternative Production Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
exact_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/Production_Workflows/Jazz Production Guide.md,Production_Workflows/Jazz Production Guide.md,auto_apply_pending_remote_gate,1.0000,same_rel_path_and_hash
